,k*k*k,Energy/atom(eV),Virial/atom(eV),Force(eV/A),xHe,P
0,900,-2.5928,1.2049,1.5198844980375485,0.0,1
1,1000,-2.5935,1.2105,1.5192505899601352,0.0,1
2,1100,-2.5938,1.2137,1.518658301504436,0.0,1
3,1200,-2.594,1.2155,1.518007218392738,0.0,1
4,1300,-2.5941,1.2163,1.5177578063623132,0.0,1
5,1400,-2.5941,1.2167,1.5175011460518741,0.0,1
6,1500,-2.5942,1.2167,1.5173995849955213,0.0,1
7,1600,-2.5942,1.2166,1.5172664842380814,0.0,1
0,900,-1.1831,3.134,1.2777714902024162,0.0,4
1,1000,-1.184,3.1399,1.276732871934308,0.0,4
2,1100,-1.1847,3.1432,1.2764162201079818,0.0,4
3,1200,-1.1851,3.1448,1.276777136469124,0.0,4
4,1300,-1.1853,3.1458,1.2770275386957775,0.0,4
5,1400,-1.1854,3.1464,1.2772045807119825,0.0,4
6,1500,-1.1855,3.1464,1.2772528144433808,0.0,4
7,1600,-1.1856,3.1463,1.2772687938652831,0.0,4
0,900,-0.4027,4.1642,1.3361169037464657,0.0,7
1,1000,-0.4037,4.1698,1.336734649204979,0.0,7
2,1100,-0.4045,4.1727,1.3366371900048757,0.0,7
3,1200,-0.4051,4.1743,1.3373997608248207,0.0,7
4,1300,-0.4054,4.1753,1.3371242758623691,0.0,7
5,1400,-0.4055,4.176,1.337414213126169,0.0,7
6,1500,-0.4056,4.1761,1.337386089857664,0.0,7
7,1600,-0.4058,4.176,1.3367634902261836,0.0,7
0,900,0.0951,4.8179,1.4757460980038732,0.0,10
1,1000,0.0939,4.8235,1.4746682253366534,0.0,10
2,1100,0.093,4.8266,1.474387922824578,0.0,10
3,1200,0.0924,4.828,1.4745861719631657,0.0,10
4,1300,0.092,4.8289,1.4744824830632526,0.0,10
5,1400,0.0918,4.8295,1.4744816722395653,0.0,10
6,1500,0.0916,4.8297,1.4745069787191116,0.0,10
7,1600,0.0915,4.8297,1.4739484636537914,0.0,10
0,900,-1.4323,1.8171,1.8942398190299525,0.33,1
1,1000,-1.4329,1.8213,1.8928435619867539,0.33,1
2,1100,-1.4331,1.824,1.89208009666926,0.33,1
3,1200,-1.4332,1.8257,1.8914398403695474,0.33,1
4,1300,-1.4331,1.8266,1.8909672295036875,0.33,1
5,1400,-1.4331,1.8269,1.8910061712957638,0.33,1
6,1500,-1.4332,1.8267,1.8910558500124932,0.33,1
7,1600,-1.4333,1.8264,1.890676840795503,0.33,1
0,900,-0.3794,3.3716,2.4754750800669605,0.33,4
1,1000,-0.38,3.3754,2.4742976200776656,0.33,4
2,1100,-0.3804,3.379,2.4736953520537592,0.33,4
3,1200,-0.3806,3.3807,2.4740104263007763,0.33,4
4,1300,-0.3806,3.3823,2.473870446951826,0.33,4
5,1400,-0.3806,3.3825,2.4735420939735526,0.33,4
6,1500,-0.3807,3.3823,2.473359411821489,0.33,4
7,1600,-0.3807,3.3822,2.4727678946468985,0.33,4
0,900,0.6289,4.7587,2.7160536447794823,0.33,7
1,1000,0.628,4.7632,2.7149872737609106,0.33,7
2,1100,0.6276,4.7664,2.714897779695199,0.33,7
3,1200,0.6273,4.7684,2.714989532147705,0.33,7
4,1300,0.6273,4.7698,2.7158515836440014,0.33,7
5,1400,0.6273,4.7695,2.7140214530703197,0.33,7
6,1500,0.6272,4.7695,2.7138479990962674,0.33,7
7,1600,0.6271,4.7688,2.7158890391100132,0.33,7
0,900,1.441,5.8091,2.297017372501418,0.33,10
1,1000,1.4401,5.8134,2.293036996673917,0.33,10
2,1100,1.4396,5.8166,2.2925716947492973,0.33,10
3,1200,1.4393,5.8185,2.2921266960741202,0.33,10
4,1300,1.4393,5.8202,2.2923258987220514,0.33,10
5,1400,1.4393,5.8196,2.294214396580778,0.33,10
6,1500,1.4392,5.8197,2.294232414645179,0.33,10
7,1600,1.4391,5.8201,2.2917355522321032,0.33,10
0,900,-1.2496,1.209,1.5277480338691702,0.5,1
1,1000,-1.25,1.2119,1.5272461523853182,0.5,1
2,1100,-1.2501,1.2144,1.5268539470315936,0.5,1
3,1200,-1.2501,1.2159,1.5260134304391746,0.5,1
4,1300,-1.2501,1.2171,1.5277399861755645,0.5,1
5,1400,-1.25,1.2168,1.5266864140829637,0.5,1
6,1500,-1.2501,1.2166,1.5266174096182434,0.5,1
7,1600,-1.2501,1.2163,1.5266153072016544,0.5,1
0,900,0.1148,3.6164,1.740007335166292,0.5,4
1,1000,0.114,3.62,1.7389886104119554,0.5,4
2,1100,0.1136,3.6234,1.7377096053450631,0.5,4
3,1200,0.1134,3.6253,1.737873792209939,0.5,4
4,1300,0.1135,3.6266,1.7382726521326979,0.5,4
5,1400,0.1135,3.6269,1.7369051897534618,0.5,4
6,1500,0.1134,3.6267,1.7368953332694619,0.5,4
7,1600,0.1133,3.6265,1.7381580223052315,0.5,4
