,energy
0,-2.1528346171066723
1,-2.1469370904765612
2,-2.1464568378677003
3,-2.1608520073027693
4,-2.148218889300976
5,-2.1484937929251626
6,-2.1519059710174533
7,-2.1518464957568852
8,-2.148151493443982
9,-2.1481459969586205
10,-2.1531165758439395
11,-2.1465204045408597
12,-2.1494566509983115
13,-2.1587054985416194
14,-2.150333252805102
15,-2.146737286213467
16,-2.1537172013600268
17,-2.146268282116032
18,-2.147534232656316
19,-2.1542200671364164
20,-2.149263676479001
21,-2.145218786115036
22,-2.1479868597691483
23,-2.1500443792835635
24,-2.154798014267335
25,-2.1401787618743398
26,-2.1572109210106465
27,-2.142704240818449
28,-2.150168709701879
29,-2.1559931516532727
30,-2.147242427372135
31,-2.143421453626391
32,-2.1509325023112673
33,-2.147226110757632
34,-2.143229568191331
35,-2.141987679169579
36,-2.1569925863966195
37,-2.15395182006244
38,-2.1522129896274813
39,-2.1477223320312318
40,-2.1521061420104464
41,-2.1596880922306805
42,-2.156599503297308
43,-2.1509310999360465
44,-2.142025407468038
45,-2.153968691272575
46,-2.1612273128485833
47,-2.147581596558244
48,-2.1449823830867065
49,-2.1340331656772316
50,-2.1406306298816253
51,-2.145090359332065
52,-2.1449396732524857
53,-2.1460222620675875
54,-2.143087313034787
55,-2.152729886468723
56,-2.145848574087932
57,-2.143226629616594
58,-2.1440929715823596
59,-2.148338127854302
60,-2.1483756346560083
61,-2.1526981313991373
62,-2.157963260615142
63,-2.157545448324512
64,-2.151348845371841
65,-2.1442156613666845
66,-2.1528432359515346
67,-2.1493979067934754
68,-2.148755138119016
69,-2.1495094080336488
70,-2.1449723383673907
71,-2.1532600400423125
72,-2.164094405421837
73,-2.159584048224781
74,-2.13959831411149
75,-2.1451601843336183
76,-2.140672436276529
77,-2.1465317092723923
78,-2.150340477633306
79,-2.15232391104757
80,-2.1580255980928342
81,-2.1464914134670825
82,-2.1546484315496963
83,-2.156979194707488
84,-2.148351788794857
85,-2.15136511855254
86,-2.148250757082303
87,-2.1506824442345076
88,-2.157411379378261
89,-2.1492067228001015
90,-2.142054293011222
91,-2.1456543880946706
92,-2.15223360626676
93,-2.1454912071622227
94,-2.147042960174712
95,-2.146421853580083
96,-2.1473951579112245
97,-2.1504521968324823
98,-2.157205340913947
99,-2.1540780946177014
100,-2.1520627774612477
101,-2.152973483436087
102,-2.1480280340056406
103,-2.145562334004081
104,-2.153235444007971
105,-2.1539318702369363
106,-2.153487509854135
107,-2.15151893917897
108,-2.1528952054666703
109,-2.151895220857694
110,-2.14342876236225
111,-2.1511272358912494
112,-2.145586038118584
113,-2.153203822861357
114,-2.1502930277613044
115,-2.146918996697419
116,-2.1561689525193715
117,-2.1476541272765175
118,-2.151569460630174
119,-2.149287080459251
120,-2.15623458945291
121,-2.160812048998712
122,-2.145698664680794
123,-2.14460852295948
124,-2.137430445413703
125,-2.153671858642535
126,-2.1469059093977125
127,-2.1497956937066394
128,-2.150153140675487
129,-2.151382011488874
130,-2.1513424257862788
131,-2.153355420440816
132,-2.1520098544211264
133,-2.1580504989307827
134,-2.163744938372206
135,-2.157546839581799
136,-2.1476190345908543
137,-2.150050772842798
138,-2.142554859622045
139,-2.149741641187112
140,-2.151866028040778
141,-2.1589419861412553
142,-2.153302352697439
143,-2.1495485094146987
144,-2.1504113617202427
145,-2.1491927439141634
146,-2.149326116183261
147,-2.1458934212233562
148,-2.155910609025658
149,-2.1571269523990537
150,-2.154684377677513
151,-2.14588658665103
152,-2.1528765796136082
153,-2.143331918127578
154,-2.1448539057712677
155,-2.1426485286444983
156,-2.153499163243557
157,-2.14663660395286
158,-2.154461856516654
159,-2.1590992314332333
160,-2.157275557227794
161,-2.154376739174485
162,-2.1468635685361095
163,-2.1481574338739353
164,-2.158747307412618
165,-2.151839572603179
166,-2.15906270072305
167,-2.156883369623522
168,-2.1455502309905525
169,-2.148980762487371
170,-2.146832295840586
171,-2.1523917189998167
172,-2.144216797495124
173,-2.148108611668457
174,-2.157879638810934
175,-2.1447833830399747
176,-2.1480909702019453
177,-2.1496211048215357
178,-2.150555904704926
179,-2.149231373222181
180,-2.141511124360315
181,-2.1493645990007746
182,-2.1500420059658842
183,-2.1483136593317766
184,-2.1387843135137024
185,-2.1541815596864518
186,-2.1553510007001404
187,-2.1603473369136608
188,-2.1515308236178448
189,-2.1528956986983965
190,-2.137632128301556
191,-2.145363679902999
192,-2.1458431008623875
193,-2.1518490678130995
194,-2.141319664478409
195,-2.146805740984339
196,-2.1502722995867734
197,-2.149025490912925
198,-2.1467535994902898
199,-2.149505790465164
200,-2.158096433391929
201,-2.150616247783342
202,-2.1528179123450397
203,-2.1537801922458293
204,-2.148295240337372
205,-2.143327354147379
206,-2.1529652889978936
207,-2.1487848151540136
208,-2.1370453793122723
209,-2.146522264608171
210,-2.153685836556453
211,-2.1461006429366587
212,-2.155247665345181
213,-2.151308938093998
214,-2.15805185840076
215,-2.150928320130744
216,-2.14770564343137
217,-2.151586817988205
218,-2.152987110803189
219,-2.1563747897234293
220,-2.1514185029944
221,-2.153568695171044
222,-2.1481705978745556
223,-2.1524544748296006
224,-2.158309894334551
225,-2.151619847063013
226,-2.147586430447012
227,-2.15649062781007
228,-2.145390464262688
229,-2.1579981506753487
230,-2.1453021759090003
231,-2.15675594787545
232,-2.152700378246564
233,-2.1529989453694087
234,-2.1516884916502033
235,-2.1477818504272226
236,-2.146359038357725
237,-2.153326810118915
238,-2.148902659993795
239,-2.1557202579632384
240,-2.14879208229596
241,-2.145286305746626
242,-2.1507620075219673
243,-2.1541269647092713
244,-2.1599809021267347
245,-2.1523859789103397
246,-2.1552528289049855
247,-2.1587740059576244
248,-2.147205850869859
249,-2.1540981365734035
250,-2.1495471851295718
251,-2.155297404979988
252,-2.1576516284755267
253,-2.154221703193244
254,-2.14635665016454
255,-2.153414934294828
256,-2.1517257030877395
257,-2.151283181861948
258,-2.1514054842679124
259,-2.1534235757061007
260,-2.1532366731926333
261,-2.156805387400754
262,-2.146961234480463
263,-2.1546452964911276
264,-2.150651410636213
265,-2.1547155889164475
266,-2.148681271440696
267,-2.1563450450174795
268,-2.149217954624946
269,-2.1483644307437135
270,-2.149464898472191
271,-2.1545623695149656
272,-2.137964897439568
273,-2.1566698546995156
274,-2.1508829363308073
275,-2.159803080461565
276,-2.1428011473454243
277,-2.145628315633306
278,-2.1462981596132007
279,-2.1493348864303115
280,-2.1576545482543628
281,-2.147356819700649
