,task_name,mean_f,std_f_chen,std_f_veclength,RMSE_this,temp,pres,RMSE_dptest
0,task.007.000000,7.187349531445797,4.624894100853597,8.010551562304009,0.6246860009724143,10000.0,6500000,0.624686
1,task.007.000001,3.0104104859168044,1.8540060133859717,3.211232612722726,0.4058777858047197,5000.0,3000000,0.4058778
2,task.007.000002,5.907083008149907,3.9237274057132603,6.796095221745789,0.4676484665628523,6000.0,5000000,0.4676485
3,task.007.000003,5.6818372447882695,4.135230916363035,7.162430048170383,0.5622857635854761,11000.0,3000000,0.5622858
4,task.007.000004,5.6258822445250924,3.7764608418708385,6.541022050914628,0.6137345601562898,9000.0,3500000,0.6137346
5,task.007.000006,5.500893897616606,3.4162203941176923,5.917067292464817,0.5628408154832649,5000.0,5000000,0.6523312
6,task.007.000007,4.29992264811864,3.3161207036064697,5.743689542677459,0.336792770806113,10000.0,1500000,0.5628408
7,task.007.000008,6.566285979950405,4.339140192994001,7.515611275429831,0.5919374171785473,9000.0,8000000,0.3367928
8,task.007.000010,4.9313063440128735,3.108016599089609,5.383242660390633,0.4321104913217028,9000.0,3500000,0.5919374
9,task.007.000011,3.0605095973626204,1.9196104997901937,3.324862916379301,0.5581118901730261,1000.0,8500000,0.6775795
10,task.007.000013,8.16426796336766,5.2118817195058735,9.027243941223617,0.5792824220009615,11000.0,7000000,0.4321105
11,task.007.000015,5.488538983864766,3.3871888216654384,5.866783133953895,0.5494291986663852,6000.0,10500000,0.5581119
12,task.007.000016,6.359571621170468,4.070738766306949,7.050726367583885,0.6845008069129739,7000.0,8000000,0.5226037
13,task.007.000017,2.4398095686799524,1.6226423448314986,2.81049898376085,0.5196749323353226,2000.0,1000000,0.5792824
14,task.007.000022,7.611254763308565,5.327552529607217,9.227591661271795,0.6910828797625194,9000.0,9500000,0.461264
15,task.007.000025,6.3436335236190535,4.283030085308382,7.41842571810018,0.6112885648906816,7000.0,6000000,0.5494292
16,task.007.000026,5.027661278288112,3.373519103111912,5.843106486894022,0.5396141727451201,6000.0,6000000,0.6845008
17,task.007.000031,6.4949472686384695,4.448217242519551,7.704538267147792,0.6125716079695581,7000.0,9000000,0.5196749
18,task.007.000037,6.267137057676696,3.979847625901506,6.89329829444378,0.6426701690401055,9000.0,7000000,0.6136171
19,task.007.000039,3.176522603558278,2.00334965896536,3.469903394653786,0.6366758908586119,1000.0,9000000,0.4709197
20,task.007.000044,4.6125689993677685,3.097044888697208,5.3642391005450625,0.30391384882002725,11000.0,500000,0.5342051
21,task.007.000048,3.8355411596688245,2.4624063600742616,4.265012924529364,0.7223671195660953,3000.0,7000000,0.5493409
22,task.007.000050,5.090265639911069,3.2783344820135096,5.678241887052394,0.6262943232902192,4000.0,9000000,0.6910829
23,task.007.000051,5.07715647081272,3.269198034951525,5.662417096540375,0.47385355024039216,3000.0,8000000,0.5955886
24,task.007.000052,5.110805376989696,3.28406958504476,5.688175376889163,0.6833430825185546,4000.0,10000000,0.5693523
25,task.007.000058,2.3994027954308703,1.5276043894988565,2.645888416477256,0.4262400701479717,2000.0,2500000,0.6112886
26,task.007.000064,5.9469505497314765,4.107660022308676,7.114675858858135,0.6081637486042237,8000.0,8000000,0.5396142
27,task.007.000065,5.128279535545145,3.3563984657128367,5.813452673060859,0.4303580857326089,8000.0,3500000,0.6533527
28,task.007.000066,6.493883364940063,4.063265034391229,7.037781484183709,0.6612742892930862,9000.0,9500000,0.5981075
29,task.007.000067,4.41463257714068,2.7656770214303634,4.790293118443145,0.48022865366343825,4000.0,10000000,0.4921419
30,task.007.000068,4.447533749500271,2.871954501868381,4.974371114262202,0.5322353483465279,10000.0,2500000,0.6148969
31,task.007.000069,5.275548974764264,3.3210888547688047,5.7522946329103055,0.539949085255796,12000.0,5500000,0.6125716
32,task.007.000078,5.864067971784386,3.8495978828600226,6.6676991218231425,0.6248418394526553,7000.0,6000000,0.4785337
33,task.007.000080,2.1369043409107826,1.3677093039848676,2.3689420044864566,0.4320538784356301,1000.0,4500000,0.5977949
34,task.007.000082,2.464569500879658,1.5687389571558863,2.7171355776066077,0.43127181492642686,1000.0,7000000,0.4061427
35,task.007.000086,8.392564808169192,6.050376015661137,10.479558664021239,0.3925796479881396,12000.0,5500000,0.3961066
36,task.007.000088,4.103792680892297,2.572464593691936,4.455639376946462,0.37943933496184606,3000.0,3500000,0.5669294
37,task.007.000090,2.6626365144189044,1.7124030783894346,2.9659691348078514,0.3596962125847644,8000.0,500000,0.6426702
38,task.007.000093,7.555148608270904,4.939251625403746,8.555034766566447,0.5971672279529351,11000.0,9000000,0.4443071
39,task.007.000098,4.945164808048417,3.403502872558626,5.895039898978161,0.5722157020251615,8000.0,5000000,0.6366759
40,task.007.000100,1.7097086556176726,1.13192894721845,1.9605584471403052,0.21483630630275286,1000.0,1500000,0.5780169
41,task.007.000102,5.710109984523198,4.259541063118055,7.377741538246422,0.4601549347083742,12000.0,3500000,0.5175527
42,task.007.000103,5.928941025040416,4.104869112866943,7.109841861905729,0.6494075168934186,12000.0,4500000,0.5911941
43,task.007.000105,4.498435456660567,3.3630423370965223,5.824960195856356,0.48382257887863245,12000.0,1500000,0.5163231
44,task.007.000106,8.712845694224743,6.280864382578051,10.878776226074908,0.4861671097482957,9000.0,10000000,0.3039138
45,task.007.000108,6.821177260556787,4.356617200827168,7.545882340961159,0.7134816944817426,8000.0,10000000,0.7182084
46,task.007.000110,5.16140169598642,3.495989792295434,6.055231942997856,0.5765222617149891,12000.0,6000000,0.7190985
47,task.007.000111,7.463639348309472,4.864553090783306,8.425653109352902,0.6410484408346453,11000.0,9500000,0.5075257
48,task.007.000113,6.2618561102035235,4.289690863744347,7.429962524769231,0.6290725949453696,10000.0,6500000,0.7223671
49,task.007.000114,2.3138712026117494,1.5079551229040966,2.611854888403665,0.2568697252285857,2000.0,500000,0.5759894
50,task.007.000119,2.0225321759224273,1.3114315261435512,2.271466033928221,0.3299095353186387,3000.0,500000,0.6262943
51,task.007.000120,2.980411960808144,1.8750434337000865,3.2476704935669556,0.5178526338049833,1000.0,10000000,0.4738536
52,task.007.000121,4.710520457046302,2.9020634185708434,5.026521287751725,0.5995665543222921,5000.0,8500000,0.6833431
53,task.007.000125,3.722213717516954,2.410330875578756,4.174815539554383,0.5128020980360215,4000.0,5000000,0.460995
54,task.007.000126,4.162001136503605,2.7225723830988393,4.715633694811067,0.562733298879614,9000.0,2500000,0.4735222
55,task.007.000127,6.607638535370298,4.079118614970179,7.065240691228339,0.6066858559675928,5000.0,10000000,0.5942914
56,task.007.000128,4.4528303621544145,2.7186373578239627,4.7088180311059125,0.5523101895639889,6000.0,7000000,0.5868173
57,task.007.000143,4.822818493028284,3.1274767309802716,5.41694859754725,0.6565535026978758,5000.0,10000000,0.6459616
58,task.007.000149,5.767730979511498,3.646806955556865,6.316454932420066,0.6428865528342836,10000.0,8500000,0.4262401
59,task.007.000150,5.475916558515768,4.647200600122269,8.049187552376345,0.586139345899595,12000.0,1000000,0.2967331
60,task.007.000151,7.305855330491947,4.98240797265415,8.629783752673234,0.7113853359580323,8000.0,6500000,0.5835067
61,task.007.000152,4.297538193349114,2.6505438533356185,4.590876621666681,0.632340482144224,4000.0,7500000,0.5662671
62,task.007.000156,4.023607262608388,2.6154607944370794,4.53011098116948,0.42592960049866924,9000.0,1000000,0.2822049
63,task.007.000157,4.6666626391619115,2.965071255422917,5.135654062454527,0.49493259105946574,6000.0,2500000,0.6601325
64,task.007.000158,4.313759232748515,2.756835320999864,4.774978844072218,0.5376437432769623,8000.0,4500000,0.6081637
65,task.007.000159,3.155217479783199,2.0709477529742673,3.586986727972031,0.5747379350157791,2000.0,5500000,0.4303581
66,task.007.000161,5.927621945069383,3.923848719335857,6.796305343103774,0.5583802119962502,11000.0,5000000,0.6612743
67,task.007.000162,5.991401044426979,4.019499108010496,6.961976676051961,0.5765484967847527,11000.0,7500000,0.4802287
68,task.007.000164,2.4747733672121273,1.6659486754679373,2.8855077487125373,0.3078464194593998,1000.0,3000000,0.5322353
69,task.007.000166,2.901181460466995,2.154109550050186,3.7310271857562545,0.33096358085730493,12000.0,500000,0.5399491
70,task.007.000167,4.496748128835008,2.7355175768329074,4.738055428072295,0.529053162794391,6000.0,8000000,0.229661
71,task.007.000169,4.66907759247458,3.0958480420004157,5.362166101257347,0.5533720575125954,11000.0,2500000,0.5786974
72,task.007.000170,3.0371470985454736,2.0002668027100516,3.46456373098716,0.47453129624507323,5000.0,1000000,0.549009
73,task.007.000171,5.623385155278543,3.6533822656937613,6.327843703652693,0.6168286006141134,8000.0,8500000,0.6881523
74,task.007.000172,2.1734870037039236,1.4015372702154432,2.427533760714538,0.2354578965561722,2000.0,500000,0.5267874
75,task.007.000175,3.2390428203643222,2.0393354681214797,3.532232644463662,0.4378855282484488,2000.0,6000000,0.6794785
76,task.007.000177,4.128521063166498,2.660306191297799,4.6077854870178365,0.59986388094962,7000.0,3000000,0.5382808
77,task.007.000180,3.407774530111062,2.1391606877217644,3.7051349966880758,0.36470624188116507,2000.0,8500000,0.5295066
78,task.007.000187,5.825257936743937,3.709339236069797,6.424764019381613,0.5443076560271909,10000.0,5000000,0.6248418
79,task.007.000188,3.807816618007142,2.6513265705180378,4.592232327594589,0.4637968344198671,11000.0,1500000,0.4258173
80,task.007.000192,2.8756659456697853,1.790365093981555,3.1010033068738814,0.5194463407421114,2000.0,3000000,0.4320539
81,task.007.000195,2.760511702174335,1.7723086878706946,3.0697286940877735,0.6014903919062923,1000.0,8000000,0.7258763
82,task.007.000196,3.809049627327743,2.5118171004321255,4.350594837268778,0.3678312533401573,6000.0,1500000,0.4312718
83,task.007.000200,3.4749340566754476,2.149670215876729,3.723338033416049,0.5645626517387355,2000.0,9500000,0.5756839
84,task.007.000202,2.5159745414762114,1.5528881587588834,2.689681189442469,0.5658264533524202,1000.0,9000000,0.4461504
85,task.007.000203,3.8103574474405493,2.4195748796111953,4.190826624203938,0.49877369937353067,2000.0,8500000,0.3751384
86,task.007.000204,4.616468198448735,2.8982781657924557,5.019965037620064,0.6727057484798363,4000.0,5000000,0.3925796
87,task.007.000205,5.415172716342679,3.551101816071773,6.15068876828642,0.6345385879271942,10000.0,4500000,0.3228498
88,task.007.000209,5.761254043047152,3.7830684371933936,6.552466741729148,0.48287139409136276,8000.0,6000000,0.3794393
89,task.007.000210,3.995947048477607,2.5291950364738485,4.380694305423723,0.5502033390443823,7000.0,2500000,0.3935593
90,task.007.000211,3.134288113157209,1.9843527602120712,3.436999800826848,0.47433273603552656,6000.0,3500000,0.3596962
91,task.007.000212,2.072527807013645,1.4128686995828725,2.4471603721013033,0.30889278894440014,1000.0,2000000,0.4880181
92,task.007.000213,4.135229572377374,2.604740718958919,4.511543265780334,0.5378606658016302,4000.0,5500000,0.6153198
93,task.007.000214,5.164360918290135,3.3719705081621716,5.840424241760727,0.5517957247360488,10000.0,8000000,0.5971672
94,task.007.000215,2.754702019310952,1.7356174864533291,3.0061776690421538,0.43617184166177936,1000.0,6000000,0.4960397
95,task.007.000216,1.9345983157453388,1.2435212094152996,2.1538419149967964,0.21854245663755553,1000.0,2000000,0.586709
96,task.007.000217,7.051454202610486,4.469302300400035,7.7410586586773205,0.5606523187608161,11000.0,10000000,0.6557635
97,task.007.000218,2.962868308617911,1.9328239068368838,3.347749208725255,0.839147680703265,2000.0,4000000,0.6139436
98,task.007.000219,5.818977864576775,3.855974845726444,6.6787443455057645,0.5875631483379329,11000.0,5000000,0.5722157
99,task.007.000221,7.391798512770451,5.816842806144782,10.075067279884285,0.5080672307474223,12000.0,4500000,0.6258592
100,task.007.000228,5.078758712811185,3.202887826649705,5.5475644467011485,0.6096709815510233,6000.0,8500000,0.2148363
101,task.007.000229,1.5638060710133852,1.0138235096757975,1.7559938286662773,0.2124606827189822,1000.0,1500000,0.2705873
102,task.007.000230,6.072139533547493,3.9356997121669552,6.816831864807373,0.6339549000904904,9000.0,9000000,0.4601549
103,task.007.000231,8.667483283042694,5.763532197985323,9.982730597969704,0.6404760842675802,11000.0,8000000,0.6494075
104,task.007.000235,4.206038154682399,2.732144609725381,4.732213277669801,0.5374328275291121,3000.0,8500000,0.5606691
105,task.007.000236,5.884751986705099,3.7736812867453655,6.536207720214871,0.5250178412220611,10000.0,5000000,0.4838226
106,task.007.000237,3.290245192993015,2.041495107786201,3.5359732500890013,0.4826719685514926,2000.0,9500000,0.4861671
107,task.007.000238,7.238070569736284,4.750119514331969,8.227448340847369,0.6513806907712946,9000.0,9500000,0.2923153
108,task.007.000239,5.326513055870696,3.3992596062475893,5.887690346137401,0.45561560876415114,12000.0,1500000,0.7134817
109,task.007.000240,6.336115046232771,4.071993967806725,7.052900440355235,0.5489132170370548,10000.0,6500000,0.2447968
110,task.007.000241,4.258434118153244,2.6702322417005906,4.624977910633961,0.5918993749173832,3000.0,8500000,0.5765223
111,task.007.000242,7.074889252038841,4.4915900481309565,7.779662170133554,0.5519893678190815,9000.0,10500000,0.6410484
112,task.007.000243,3.375277668202489,2.1230834709563,3.677288440405993,0.3438687036561842,2000.0,2500000,0.4638159
113,task.007.000244,4.891897104472294,3.2282252997769225,5.591450237492898,0.47801663643766834,8000.0,8000000,0.6290726
