,task_name,scf_e,diff,temp,pres
0,task.005.000001,61.82802581787109,0.5589334023736043,4000.0,6500000
1,task.005.000004,2.0649445056915283,0.6072441607324424,7000.0,2000000
2,task.005.000006,95.57177734375,0.13252559149252363,3000.0,10000000
3,task.005.000008,53.56888198852539,-0.5284511482202916,8000.0,5500000
4,task.005.000012,111.02830505371092,0.16979337621975787,12000.0,9500000
5,task.005.000016,19.076583862304688,0.31625346250457653,10000.0,2500000
6,task.005.000022,78.72989654541014,0.1663761361232048,6000.0,7500000
7,task.005.000023,59.66268539428711,0.753119378910533,10000.0,6500000
8,task.005.000026,76.86980438232422,0.1973869152780594,3000.0,8000000
9,task.005.000027,-12.060669898986816,0.4762131310522708,6000.0,1000000
10,task.005.000030,33.05502700805664,0.5626262273842002,8000.0,4000000
11,task.005.000031,-28.42087173461914,-1.2497040216841881,5000.0,500000
12,task.005.000032,80.43917846679686,-0.7323576911222887,10000.0,8500000
13,task.005.000034,106.20035552978516,-0.4511554291358095,11000.0,9500000
14,task.005.000035,24.946296691894528,-0.8720141700642365,1000.0,4000000
15,task.005.000036,15.522713661193848,-0.46376633686793234,4000.0,3000000
16,task.005.000037,65.43816375732422,-0.6666481654237657,3000.0,7000000
17,task.005.000038,40.089820861816406,-0.04050541777881023,3000.0,4500000
18,task.005.000040,72.20464324951172,1.576440070752625,4000.0,7000000
19,task.005.000041,104.70509338378906,0.12736983292710136,8000.0,10500000
20,task.005.000042,-3.535959005355835,-0.9382806137671031,1000.0,2000000
21,task.005.000046,66.03594970703125,-0.21721954350503836,11000.0,7000000
22,task.005.000047,24.200172424316406,-1.3002126407967793,6000.0,4000000
23,task.005.000048,94.82058715820312,-0.5496215271479912,5000.0,10000000
24,task.005.000050,29.984619140625,-1.0867242287403656,4000.0,4000000
25,task.005.000051,-23.800226211547848,-0.7773229248179838,4000.0,500000
26,task.005.000052,16.034257888793945,-0.003362874077211586,5000.0,2500000
27,task.005.000055,61.80578613281249,0.7831047206088755,6000.0,6500000
28,task.005.000056,-16.614116668701172,-1.0794987670703495,11000.0,1000000
29,task.005.000057,-25.09649085998535,-2.5023289138288725,12000.0,500000
30,task.005.000059,50.54226303100586,-1.1323368984179965,10000.0,5000000
31,task.005.000063,59.81846618652344,-1.464499984365986,2000.0,7000000
32,task.005.000064,80.27061462402342,-0.6001353178765072,1000.0,9000000
33,task.005.000066,-7.370898723602296,-1.0472218469705075,7000.0,1000000
34,task.005.000068,-3.942063570022583,0.5613392986845254,10000.0,1000000
35,task.005.000069,31.574119567871094,0.1342838827732713,12000.0,3000000
36,task.005.000072,20.77665328979492,0.7745047953382951,8000.0,3000000
37,task.005.000074,30.970439910888672,-1.9059736902268298,12000.0,3500000
38,task.005.000077,93.40755462646483,1.1705473182394286,11000.0,8000000
39,task.005.000078,41.03738784790039,1.7396962407813419,7000.0,4000000
40,task.005.000080,55.639102935791016,-0.9970628541803421,3000.0,6000000
41,task.005.000081,54.7921257019043,-0.5097760518803582,1000.0,6500000
42,task.005.000082,92.99108123779295,-0.9246498333571509,8000.0,9500000
43,task.005.000089,4.333343982696533,-0.4742086762473159,11000.0,1500000
44,task.005.000091,79.45001983642578,-1.1458543812901922,4000.0,8500000
45,task.005.000092,15.826075553894041,-0.9450390897754257,3000.0,3000000
46,task.005.000099,84.44342803955078,0.12958363981839227,7000.0,8500000
47,task.005.000102,25.19327735900879,0.7379927797251504,5000.0,3500000
48,task.005.000103,104.06492614746092,0.8264685008124815,5000.0,10500000
49,task.005.000105,83.10231018066406,1.1856997869941637,7000.0,8000000
50,task.005.000107,42.13221740722656,-1.0039306771216445,9000.0,5000000
51,task.005.000109,50.875282287597656,0.15876264536645834,2000.0,6000000
52,task.005.000113,82.89847564697266,-0.0016153485255188116,5000.0,8500000
53,task.005.000114,33.32060623168945,0.1515118083343765,9000.0,3500000
54,task.005.000115,97.58392333984376,0.002359799159734166,11000.0,9500000
55,task.005.000119,96.2514190673828,0.020142137947175343,7000.0,10000000
56,task.005.000120,22.196239471435543,0.31200338148538975,9000.0,3000000
57,task.005.000121,33.01900100708008,-0.01585772526797058,1000.0,4500000
58,task.005.000123,-18.18910789489746,-0.7522674210712523,2000.0,1000000
59,task.005.000125,-9.770015716552734,-1.422491985321125,3000.0,1500000
60,task.005.000127,48.31149673461913,-0.6833978716245568,1000.0,6000000
61,task.005.000136,-26.978946685791012,-0.6458166735449247,5000.0,500000
62,task.005.000138,25.45755958557129,-2.291493656978396,4000.0,4000000
63,task.005.000141,52.88421249389648,0.14180566813882223,9000.0,6000000
64,task.005.000144,96.26181793212889,-0.5657242073678503,12000.0,9500000
65,task.005.000151,87.54223632812499,0.3329270895437446,5000.0,9000000
66,task.005.000154,70.80683898925781,0.32088602826729584,3000.0,7500000
67,task.005.000156,26.4014835357666,-1.4482219774129597,12000.0,3500000
