,task_name,mean_f,std_f_chen,std_f_veclength,RMSE_this,temp,pres,RMSE_dptest
0,task.011.000000,5.783381520606211,4.475413124571692,7.75164291661875,0.4026679054036327,7000.0,7500000,0.4026679
1,task.011.000001,4.431670334696837,2.9462007861344786,5.102969450884283,0.5134774531573458,7000.0,7000000,0.5134775
2,task.011.000005,2.2048877923720447,1.4063358728565492,2.4358451842942617,0.3773300732136522,6000.0,500000,0.3884199
3,task.011.000006,2.9324522222608165,1.8837593099617105,3.2627668340845712,0.5461620441470453,4000.0,1000000,0.4277735
4,task.011.000007,5.852103093004231,4.028306995160987,6.977232384103946,0.39434429806984017,7000.0,10000000,0.3242262
5,task.011.000008,3.2551762481373006,2.125271951208458,3.6810789993940936,0.3667202040998978,3000.0,6500000,0.3773301
6,task.011.000009,2.5707807463924093,1.6424107315917873,2.8447388340133415,0.4060319837963685,2000.0,2500000,0.546162
7,task.011.000011,3.939886956376396,2.8434637215442757,4.925023635193568,0.4259745342746213,7000.0,8500000,0.3943443
8,task.011.000015,5.017592179812526,3.2366741104472116,5.606084006837369,0.4456581712692913,12000.0,6000000,0.3667202
9,task.011.000016,4.382414314759931,2.7315282235643803,4.731145665521865,0.41451365623084646,4000.0,10000000,0.406032
10,task.011.000017,3.912439226012014,2.493677170608332,4.319175557168235,0.3804152396754549,9000.0,6000000,0.4447926
11,task.011.000018,3.2394227176951023,2.2325049490775037,3.866811999951205,0.36122925457352156,10000.0,2500000,0.4259745
12,task.011.000019,1.9180545370637307,1.2427850047057212,2.152566771035035,0.45035788536975185,1000.0,2500000,0.399929
13,task.011.000020,4.161204275956899,2.8555997490119465,4.946043851369624,0.45354559473456724,9000.0,2000000,0.3715511
14,task.011.000022,3.6036852377729063,2.292685735506423,3.9710481796855457,0.44783286100651926,9000.0,4000000,0.3234897
15,task.011.000023,4.622633479787127,3.5543215779058177,6.156265559371258,0.45137770370159147,12000.0,1500000,0.4456582
